NOME DE PREGÃO,SEGMENTO,Demonstrações Financeiras do Exercício,Unnamed: 3,Unnamed: 4,Unnamed: 5,Assembléia Geral Ordinária,Unnamed: 7,Formulário de Referência,Unnamed: 9,Reunião Pública com Analistas,Unnamed: 11,Informações do 1º Trimestre - ITR,Unnamed: 13,Informações do 2º Trimestre - ITR,Unnamed: 15,Informações do 3º Trimestre - ITR,Unnamed: 17,Apresentação Pública sobre Divulgação de Resultados,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atualizado,18/02/2021
,,Demonstrações Financeiras Anuais Completas,,Padronizadas - DFP,,,,,,,,,,,,,,Exercício Social,,1º trimestre,,2º trimestre,,3º trimestre,,,,
,,Previsão,Entrega,Previsão,Entrega,Previsão,Realização ,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Entrega,Previsão,Entrega,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,,,
SINQIA,NM,10/03/2021,,10/03/2021,,29/04/2021,,28/05/2021,,,,05/05/2021,,04/08/2021,,03/11/2021,,11/03/2021,08/01/2021,06/05/2021,,05/08/2021,,04/11/2021,,,,
SLC AGRICOLA,NM,17/03/2021,,17/03/2021,,29/04/2021,,28/05/2021,,,,06/05/2021,,12/08/2021,,10/11/2021,,18/03/2021,,07/05/2021,,13/08/2021,,11/11/2021,,,,
SMART FIT,M2,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
SMILES,NM,23/02/2021,,23/02/2021,,12/04/2021,,28/05/2021,,,,26/04/2021,,26/07/2021,,25/10/2021,,24/02/2021,,27/04/2021,,27/07/2021,,26/10/2021,,,,
SPRINGS,NM,22/03/2021,,22/03/2021,,30/04/2021,,27/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,23/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
STARA,MA,22/03/2021,,22/03/2021,,23/04/2021,,26/05/2021,,,,12/05/2021,,10/08/2021,,11/11/2021,,,,,,,,,,,,
SUL AMERICA,N2,24/02/2021,,24/02/2021,,29/03/2021,,31/05/2021,,10/12/2021,,11/05/2021,,11/08/2021,,09/11/2021,,,,,,,,,,,,
SUZANO S.A.,NM,10/02/2021,,10/02/2021,10/02/2021,29/04/2021,,28/05/2021,,,,13/05/2021,,12/08/2021,,28/10/2021,,11/02/2021,11/02/2021,14/05/2021,,13/08/2021,,29/10/2021,,,,
TAESA,N2,03/03/2021,,03/03/2021,,06/04/2021,,31/05/2021,,03/12/2021,,05/05/2021,,11/08/2021,,10/11/2021,,,,,,,,,,,,
TAURUS ARMAS,N2,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,16/12/2021,,14/05/2021,,13/08/2021,,16/11/2021,,,,,,,,,,,,
TECHNOS,NM,18/03/2021,,18/03/2021,,30/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,19/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
TECNISA,NM,18/03/2021,,18/03/2021,,23/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,19/03/2021,28/01/2021,14/05/2021,,13/08/2021,,12/11/2021,,,,
TEGMA,NM,09/03/2021,,09/03/2021,,13/04/2021,,28/05/2021,,,,03/05/2021,,04/08/2021,,04/11/2021,,10/03/2021,,04/05/2021,,05/08/2021,,05/11/2021,,,,
TENDA,NM,11/03/2021,,11/03/2021,,30/04/2021,,31/05/2021,,,,05/05/2021,,05/08/2021,,04/11/2021,,12/03/2021,,06/05/2021,,06/08/2021,,05/11/2021,,,,
TERRA SANTA,NM,10/03/2021,,10/03/2021,,22/04/2021,,31/05/2021,,,,13/05/2021,,10/08/2021,,04/11/2021,,11/03/2021,,14/05/2021,,11/08/2021,,05/11/2021,,,,
TIM,NM,09/02/2021,,09/02/2021,09/02/2021,08/04/2021,,31/05/2021,,,,05/05/2021,,26/07/2021,,25/10/2021,,10/02/2021,09/02/2021,06/05/2021,,27/07/2021,,26/10/2021,,,,
TIME FOR FUN,NM,18/03/2021,,18/03/2021,,28/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,19/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
TOTVS,NM,10/02/2021,,10/02/2021,10/02/2021,20/04/2021,,31/05/2021,,,,05/05/2021,,04/08/2021,,10/11/2021,,11/02/2021,,06/05/2021,,05/08/2021,,11/11/2021,,,,
TRACK FIELD,N2,22/03/2021,,22/03/2021,,30/04/2021,,31/05/2021,,22/09/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
TRAN PAULIST,N1,22/02/2021,,22/02/2021,,25/03/2021,,28/05/2021,,01/12/2021,11/01/2021,29/04/2021,,29/07/2021,,28/10/2021,,,,,,,,,,,,
TRISUL,NM,10/03/2021,,10/03/2021,,23/04/2021,,28/05/2021,,,,12/05/2021,,12/08/2021,,11/11/2021,,11/03/2021,,13/05/2021,,13/08/2021,,12/11/2021,,,,
TRIUNFO PART,NM,25/03/2021,,25/03/2021,,30/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,26/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
TUPY,NM,04/03/2021,,04/03/2021,,30/04/2021,,21/05/2021,,,,28/04/2021,,28/07/2021,,27/10/2021,,05/03/2021,,29/04/2021,,29/07/2021,,28/10/2021,,,,
ULTRAPAR,NM,24/02/2021,,24/02/2021,,14/04/2021,,31/05/2021,,,,05/05/2021,,11/08/2021,,03/11/2021,,25/02/2021,,06/05/2021,,12/08/2021,,04/11/2021,,,,
UNICASA,NM,11/03/2021,,11/03/2021,,27/04/2021,,28/05/2021,,,,06/05/2021,,05/08/2021,,11/11/2021,,12/03/2021,,07/05/2021,,06/08/2021,,12/11/2021,,,,
USIMINAS,N1,12/02/2021,,12/02/2021,12/02/2021,29/04/2021,,31/05/2021,,26/11/2021,12/02/2021,23/04/2021,,30/07/2021,,29/10/2021,,,,,,,,,,,,
VALE,NM,25/02/2021,,25/02/2021,,30/04/2021,,28/05/2021,,,,26/04/2021,,28/07/2021,,28/10/2021,,26/02/2021,,27/04/2021,,29/07/2021,,29/10/2021,,,,
VALID,NM,18/03/2021,,18/03/2021,,29/04/2021,,28/05/2021,,,,12/05/2021,,11/08/2021,,10/11/2021,,19/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
VAMOS,NM,23/02/2021,,23/02/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,24/02/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
VIAVAREJO,NM,02/03/2021,,02/03/2021,,27/04/2021,,31/05/2021,,,,12/05/2021,,04/08/2021,,10/11/2021,,03/03/2021,,13/05/2021,,05/08/2021,,11/11/2021,,,,
VIVARA S.A.,NM,17/03/2021,,17/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,10/08/2021,,10/11/2021,,18/03/2021,,17/05/2021,,11/08/2021,,11/11/2021,,,,
VIVER,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,31/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
VULCABRAS,NM,09/03/2021,,09/03/2021,,23/04/2021,,28/05/2021,,,,11/05/2021,,10/08/2021,,10/11/2021,,10/03/2021,01/02/2021,12/05/2021,,11/08/2021,,11/11/2021,,,,
WEG,NM,24/02/2021,,24/02/2021,,27/04/2021,,31/05/2021,,,,28/04/2021,,28/07/2021,,27/10/2021,,25/02/2021,,29/04/2021,,29/07/2021,,28/10/2021,,,,
WESTWING,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
WIZ S.A.,NM,04/03/2021,,04/03/2021,,15/04/2021,,28/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,05/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
YDUQS PART,NM,17/03/2021,,17/03/2021,,28/04/2021,,28/05/2021,,,,10/05/2021,,11/08/2021,,08/11/2021,,18/03/2021,07/01/2021,11/05/2021,,12/08/2021,,09/11/2021,,,,
